Nombre	GIF
Flexiones estándar	https://homeworkouts.org/wp-content/uploads/anim-push-ups.gif
Flexiones inclinadas	https://media.giphy.com/media/l3vR6KJdPRDBGioKI/giphy.gif
Flexiones declinadas	https://media.giphy.com/media/l0HlQ6K3OS5s1guqI/giphy.gif
Flexiones con manos juntas (diamante)	https://homeworkouts.org/wp-content/uploads/anim-diamond-push-ups.gif
Fondos entre sillas (modificado)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/chest-dip.gif
Press con mochila (acostado)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-bench-press.gif
Aperturas en el suelo con botellas	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-fly.gif
Flexiones inclinadas con rotación	https://homeworkouts.org/wp-content/uploads/anim-push-up-to-side-plank.gif
Flexiones explosivas / con palmada	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/plyometric-push-up.gif
Press de pecho con una mano (mochila)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/single-arm-dumbbell-bench-press.gif
Push-up con pausa isométrica	https://homeworkouts.org/wp-content/uploads/anim-push-up-slow.gif
Remo con toalla en puerta	https://thumbs.gfycat.com/ImpossibleGranularGazelle-size_restricted.gif
Remo con mochila (a una mano)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/bent-over-dumbbell-row.gif
Superman	https://www.inspireusafoundation.org/wp-content/uploads/2021/08/superman-exercise.gif
Bird-dog	https://www.inspireusafoundation.org/wp-content/uploads/2022/09/bird-dog-movement.gif
Remo invertido bajo mesa	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/inverted-row.gif
Peso muerto con mochila	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-romanian-deadlift.gif
Pull-over con botella	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-pullover.gif
Remo unilateral con toalla	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/single-arm-dumbbell-row.gif
Face pulls con banda/toalla	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/band-face-pull.gif
Chin-up asistido (toalla/puerta)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/chin-up.gif
Remo con banda de resistencia	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/resistance-band-row.gif
Sentadillas (air squats)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/bodyweight-squat.gif
Sentadilla sumo	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/sumo-squat.gif
Zancadas alternas	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/bodyweight-lunge.gif
Sentadilla búlgara	https://www.inspireusafoundation.org/wp-content/uploads/2021/09/dumbbell-bulgarian-split-squat.gif
Peso muerto a una pierna	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-single-leg-deadlift.gif
Step-ups en escalón	https://www.inspireusafoundation.org/wp-content/uploads/2022/04/step-up.gif
Puente de glúteos	https://www.inspireusafoundation.org/wp-content/uploads/2022/11/glute-bridge.gif
Elevaciones de talón a una pierna	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/single-leg-calf-raise.gif
Pistol asistida (una pierna)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/pistol-squat.gif
Jump squat	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/jump-squat.gif
Sentadilla isométrica contra pared	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/wall-sit.gif
Pike push-up	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/pike-push-up.gif
Handstand hold asistido	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/wall-handstand-hold.gif
Press militar con mochila	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/dumbbell-shoulder-press.gif
Elevaciones laterales con botellas	https://www.inspireusafoundation.org/wp-content/uploads/2021/09/dumbbell-lateral-raise.gif
Elevaciones frontales con botella	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/dumbbell-front-raise.gif
Remo al mentón con mochila	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-upright-row.gif
Y-raises en el suelo	https://www.inspireusafoundation.org/wp-content/uploads/2023/03/prone-y-raise.gif
Cuban press con botella	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/shoulder-tap.gif
Push-press con mochila	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/arnold-press.gif
Face pull con toalla	https://www.inspireusafoundation.org/wp-content/uploads/2022/02/handstand-push-up.gif
Elevaciones posteriores con botella	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/band-pull-apart.gif
Curl de bíceps con mochila	https://newlife.com.cy/wp-content/uploads/2019/11/03341301-Dumbbell-Biceps-Curl_Upper-Arms_small.gif
Curl martillo con botellas	https://www.inspireusafoundation.org/wp-content/uploads/2021/09/dumbbell-hammer-curl.gif
Fondos en silla (tríceps dips)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/bench-dip.gif
Extensión de tríceps por encima de la cabeza	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-overhead-triceps-extension.gif
Curl isométrico (sostén)	https://www.inspireusafoundation.org/wp-content/uploads/2023/03/isometric-bicep-curl-hold.gif
Kickback de tríceps	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-kickback.gif
Curl concentrado con botella	https://thumbs.gfycat.com/GraveAffectionateCock-size_restricted.gif
Curl reverso con botellas	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-reverse-curl.gif
Flexiones diamante (énfasis tríceps)	https://homeworkouts.org/wp-content/uploads/anim-diamond-push-ups.gif
Inverted row agarre supino	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-wrist-curl.gif
Skull crushers en el suelo (botella)	https://www.inspireusafoundation.org/wp-content/uploads/2022/01/dumbbell-reverse-wrist-curl.gif
Plancha frontal	https://www.inspireusafoundation.org/wp-content/uploads/2023/08/forearm-plank.gif
Plancha lateral	https://www.inspireusafoundation.org/wp-content/uploads/2023/08/elbow-side-plank.gif
Elevaciones de piernas	https://www.inspireusafoundation.org/wp-content/uploads/2022/08/lying-leg-raise.gif
Crunches	https://www.inspireusafoundation.org/wp-content/uploads/2021/08/crunch.gif
Bicycle crunches	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/bicycle-crunch.gif
V-ups	https://www.inspireusafoundation.org/wp-content/uploads/2022/10/v-up.gif
Hollow body hold	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/russian-twist.gif
Mountain climbers (core)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/mountain-climber.gif
Russian twists con botella	https://www.inspireusafoundation.org/wp-content/uploads/2023/02/flutter-kicks.gif
Flutter kicks	https://www.inspireusafoundation.org/wp-content/uploads/2022/06/hollow-body-hold.gif
Crunch inverso	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/dead-bug.gif
Jumping jacks (saltos de tijera)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/jumping-jack.gif
High knees (rodillas altas)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/high-knee.gif
Burpees	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/butt-kick.gif
Saltar la cuerda	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/burpee.gif
Sprint en el sitio	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/mountain-climber.gif
Mountain climbers (rápidos)	https://www.inspireusafoundation.org/wp-content/uploads/2023/04/skater-hop.gif
Tabata jump squats	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/jump-rope.gif
Shadow boxing	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/box-jump.gif
Step-ups rápidos	https://www.inspireusafoundation.org/wp-content/uploads/2023/04/inchworm.gif
Skaters (saltos laterales)	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/tuck-jump.gif
Sprint en escaleras	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/stair-running.gif
Burpee to tuck jump	https://www.inspireusafoundation.org/wp-content/uploads/2022/03/shadow-boxing.gif
Tadasana (Postura de la montaña)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/downward-dog.gif
Adho Mukha Svanasana (Perro hacia abajo)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/upward-dog.gif
Balasana (Postura del niño)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/warrior-1.gif
Bhujangasana (Cobra)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/warrior-2.gif
Virabhadrasana II (Guerrero II)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/triangle-pose.gif
Vrksasana (Postura del árbol)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/tree-pose.gif
Setu Bandha Sarvangasana (Puente)	https://www.inspireusafoundation.org/wp-content/uploads/2022/11/glute-bridge.gif
Ardha Chandrasana (Media luna)	https://www.inspireusafoundation.org/wp-content/uploads/2022/12/seated-forward-fold.gif
